Movie Name,Year of Release,Rating
Sandesham,1991,8.6
Kireedam,1989,8.6
Manichitrathazhu,1993,8.6
#Home,2021,8.5
Nadodikkattu,1987,8.5
Kumbalangi Nights,2019,8.5
Devasuram,1993,8.4
Chithram,1988,8.4
Spadikam,1995,8.4
Oru Vadakkan Veeragatha,1989,8.4
Kilukkam,1991,8.4
Godfather,1991,8.4
Thoovanathumbikal,1987,8.3
In Harihar Nagar,1990,8.3
Drishyam 2,2021,8.3
Ramji Rav Speaking,1989,8.3
Thaniyavartanam,1987,8.3
Yoddha,1992,8.3
Kaalapani,1996,8.3
Guru,1997,8.2
Drishyam,2013,8.2
Premam,2015,8.2
Bangalore Days,2014,8.2
Maheshinte Prathikaaram,2016,8.2
Thanmathra,2005,8.2
Bharatham,1991,8.2
Ustad Hotel,2012,8.2
Namukku Parkkan Munthiri Thoppukal,1986,8.2
Ee. Ma. Yau,2018,8.1
The Great Indian Kitchen,2021,8.1
Pranchiyettan and the Saint,2010,8.1
Amaram,1991,8.1
Pathemari,2015,8.1
Vatsalyam,1993,8.1
Dasharatham,1989,8.1
Android Kunjappan Version 5.25,2019,8.1
Thondimuthalum Dhriksakshiyum,2017,8.1
Take Off,2017,8.1
Sudani from Nigeria,2018,8.1
Kaazhcha,2004,8.1
Nayattu,2021,8.1
Hridayam,2022,8.0
Oru CBI Diary Kurippu,1988,8.0
Pattanapravesam,1988,8.0
Operation Java,2021,8.0
Traffic,2011,8.0
Thenmavin Kombath,1994,8.0
Classmates,2006,8.0
Ayyappanum Koshiyum,2020,8.0
Joseph,2018,8.0
